Age,MaritalStatus,EmploymentStatus,EducationLevel,AnnualIncome,NetWorth,CreditScore,TotalLiabilities,TotalDebtToIncomeRatio,LoanAmount,LoanDuration,InterestRate
35.0,3.0,0.0,4.0,22637.0,5982.0,536.0,32644.0,0.6705879312103635,12668.0,36.0,0.2049790568658855
45.0,1.0,0.0,4.0,45453.0,39580.0,518.0,14772.0,0.6451591988212907,36807.0,24.0,0.2370992929436421
60.0,1.0,0.0,1.0,119689.0,18490.0,668.0,12381.0,0.1605989070749133,29560.0,36.0,0.216672
52.0,2.0,0.0,3.0,16309.0,82429.0,557.0,14965.0,1.402131033218253,42479.0,72.0,0.29070977304349
32.0,2.0,0.0,1.0,40329.0,1554.0,539.0,4497.0,0.2993512390251772,22823.0,60.0,0.2642199142512603
39.0,2.0,0.0,1.0,63064.0,7712.0,552.0,70567.0,0.2337388289043676,21268.0,48.0,0.2568833552565044
31.0,1.0,2.0,1.0,34303.0,316820.0,517.0,17285.0,0.5837911137135077,34927.0,48.0,0.3050278930004079
32.0,2.0,0.0,4.0,80042.0,60426.0,566.0,9780.0,0.1879504196167299,18897.0,48.0,0.2726339808974009
47.0,1.0,0.0,3.0,54418.0,3721.0,608.0,30665.0,0.1979147630553091,11835.0,48.0,0.1732789979882187
42.0,2.0,0.0,4.0,112054.0,10280.0,614.0,18239.0,0.0900295597913395,12312.0,48.0,0.1737884348138511
42.0,1.0,0.0,1.0,39282.0,3503.0,469.0,44049.0,0.5623039664271213,25866.0,24.0,0.2988437959583215
41.0,1.0,0.0,1.0,26191.0,71482.0,526.0,120882.0,0.470820270948923,17056.0,36.0,0.261548450245502
38.0,1.0,0.0,3.0,40384.0,1186.0,496.0,75462.0,0.2304806106731133,16624.0,84.0,0.2638791005036354
44.0,3.0,0.0,0.0,15000.0,7684.0,579.0,36587.0,1.3093462072221975,31166.0,36.0,0.242412746950318
47.0,2.0,0.0,1.0,96667.0,20885.0,591.0,23286.0,0.0721823625544136,13090.0,108.0,0.2283165062118757
36.0,0.0,0.0,3.0,33654.0,90578.0,424.0,97249.0,0.3341454043885474,16082.0,60.0,0.3405978178796176
68.0,2.0,0.0,1.0,80867.0,55668.0,633.0,2867.0,0.2852469168911241,35215.0,36.0,0.2130536959003675
50.0,2.0,0.0,1.0,52133.0,141457.0,580.0,30488.0,0.3292133478192968,31774.0,48.0,0.2333475891868668
36.0,2.0,0.0,1.0,47006.0,16952.0,540.0,8760.0,0.3447960290961614,30158.0,60.0,0.2929112964745396
35.0,1.0,1.0,4.0,38313.0,10726.0,522.0,154632.0,0.2072447773337144,7706.0,96.0,0.2815623420387482
24.0,2.0,0.0,3.0,15000.0,8319.0,461.0,37537.0,2.3711963983762847,54937.0,48.0,0.3478989386650579
60.0,2.0,2.0,4.0,79217.0,3936.0,619.0,183728.0,0.1177773580621123,20316.0,84.0,0.2409209989178555
36.0,1.0,0.0,0.0,65804.0,65674.0,565.0,16282.0,0.423014569445557,12717.0,36.0,0.2016373353286097
36.0,2.0,0.0,4.0,45811.0,10020.0,567.0,54549.0,0.3509646479356891,29892.0,36.0,0.244508895866817
22.0,1.0,0.0,3.0,33228.0,14612.0,558.0,11893.0,0.6781932066019973,29338.0,24.0,0.2137191646403078
32.0,2.0,0.0,1.0,22467.0,30510.0,567.0,21082.0,0.4802217040327828,22268.0,72.0,0.2219546246854452
41.0,0.0,0.0,4.0,45604.0,34076.0,658.0,6313.0,0.296908047137166,28764.0,48.0,0.1776067288003874
29.0,1.0,0.0,3.0,211877.0,6469.0,534.0,5532.0,0.0437381915499319,10173.0,24.0,0.1989870504065243
19.0,2.0,2.0,1.0,300000.0,83013.0,623.0,17922.0,0.0565973746297186,18283.0,24.0,0.1824570379012948
45.0,2.0,0.0,3.0,116993.0,36112.0,584.0,27413.0,0.0967887837734922,13690.0,72.0,0.2402645280656841
37.0,2.0,0.0,1.0,53789.0,75363.0,626.0,4014.0,0.0620059490272733,7452.0,96.0,0.1995549673388017
47.0,1.0,0.0,2.0,104249.0,134263.0,635.0,35761.0,0.1993897412137159,29580.0,36.0,0.2216380290392041
27.0,2.0,0.0,3.0,23819.0,1186.0,478.0,99027.0,0.4669016420898847,23403.0,60.0,0.2665216543388431
36.0,1.0,0.0,3.0,28702.0,84228.0,606.0,4635.0,0.2838177326559234,16271.0,48.0,0.1798636689713275
54.0,2.0,0.0,0.0,79705.0,55445.0,623.0,15210.0,0.121391004287868,20282.0,60.0,0.1946142909262214
51.0,0.0,0.0,3.0,40980.0,7030.0,526.0,173170.0,0.7150013940120387,56386.0,48.0,0.2937319718185894
21.0,0.0,1.0,3.0,60880.0,59596.0,538.0,5583.0,0.2215247130988079,23711.0,72.0,0.2507978342032074
40.0,1.0,0.0,0.0,35169.0,10185.0,544.0,24682.0,0.5656469135611741,39393.0,48.0,0.2674409122983427
42.0,2.0,0.0,0.0,40291.0,46642.0,609.0,36656.0,0.242680827582739,10229.0,48.0,0.2245740173889144
46.0,2.0,0.0,3.0,21675.0,43098.0,536.0,6560.0,0.66930979650005,24338.0,36.0,0.2671916321888615
18.0,1.0,0.0,1.0,39111.0,97185.0,610.0,20239.0,0.3640907477895388,23752.0,36.0,0.1740870577379965
42.0,1.0,0.0,1.0,15000.0,53448.0,585.0,13583.0,1.1087160656018853,41962.0,96.0,0.314844183144021
50.0,1.0,0.0,3.0,79464.0,4419.0,594.0,22247.0,0.0625589626727447,8483.0,60.0,0.1947258705156355
42.0,1.0,0.0,3.0,116316.0,87571.0,555.0,60221.0,0.0895647320875543,17127.0,60.0,0.240444513358775
48.0,2.0,0.0,1.0,46596.0,73732.0,563.0,5770.0,0.2099193389746153,11364.0,60.0,0.24029957040295
40.0,2.0,0.0,3.0,39303.0,56122.0,540.0,14814.0,0.2488383357283252,12750.0,96.0,0.2354615603229101
39.0,2.0,0.0,3.0,49470.0,60885.0,534.0,12821.0,0.4037679842678838,45859.0,60.0,0.2967431432446831
52.0,1.0,0.0,0.0,132794.0,56593.0,567.0,31088.0,0.0863944741091195,12954.0,24.0,0.1900991791722359
35.0,3.0,0.0,3.0,128940.0,95197.0,470.0,61490.0,0.0745381052073084,15645.0,36.0,0.2522574824796105
33.0,2.0,0.0,3.0,22551.0,6066.0,563.0,27481.0,0.6151097903300994,22597.0,48.0,0.2670852805757822
35.0,1.0,0.0,4.0,63649.0,22186.0,618.0,2027.0,0.2720266875555313,37814.0,72.0,0.2055019342433319
22.0,1.0,0.0,0.0,49478.0,15846.0,460.0,1390.0,0.2754827300466574,24935.0,48.0,0.2442967942579186
37.0,1.0,0.0,1.0,107613.0,47295.0,508.0,11782.0,0.07863494181915,17209.0,108.0,0.3190975506712542
27.0,1.0,0.0,4.0,35408.0,6622.0,508.0,111712.0,0.3503897082076467,12853.0,84.0,0.2567321585558398
52.0,1.0,0.0,3.0,78311.0,2628.0,545.0,114811.0,0.1295422327973364,15466.0,84.0,0.2963041664821013
37.0,2.0,0.0,4.0,77866.0,65732.0,597.0,5647.0,0.2399081515797718,34342.0,48.0,0.2468851246039983
63.0,2.0,0.0,1.0,49103.0,14496.0,556.0,13326.0,0.2361255321086106,18841.0,72.0,0.2427780351161375
46.0,1.0,0.0,1.0,43981.0,25517.0,640.0,18976.0,0.4633290796095938,37626.0,36.0,0.2113335831115184
18.0,1.0,0.0,3.0,29958.0,303784.0,530.0,6691.0,1.096587193810218,26954.0,12.0,0.2214543643090083
44.0,2.0,0.0,0.0,39165.0,109643.0,560.0,11076.0,0.5114018179347645,32316.0,36.0,0.2318655305299264
36.0,1.0,0.0,1.0,39099.0,48548.0,541.0,25091.0,0.2405110660624728,18323.0,60.0,0.2581970573991908
31.0,2.0,0.0,0.0,33016.0,107433.0,410.0,31730.0,0.5450516190461944,19364.0,24.0,0.3099304289546017
44.0,1.0,0.0,1.0,32312.0,10575.0,623.0,22377.0,0.5224335705756837,29676.0,60.0,0.2481069685975462
58.0,1.0,0.0,4.0,25719.0,7347.0,603.0,13813.0,0.927125672378458,52962.0,48.0,0.2387710454171397
18.0,1.0,0.0,2.0,31084.0,3123.0,609.0,209778.0,0.2676978579150505,12448.0,72.0,0.2396165407251081
48.0,1.0,0.0,1.0,122287.0,7187.0,622.0,69930.0,0.1111752867135951,34208.0,60.0,0.2409295006642657
31.0,0.0,0.0,3.0,31830.0,16623.0,596.0,17571.0,0.6245990762170567,13725.0,12.0,0.1776126761382513
45.0,2.0,0.0,0.0,93617.0,25397.0,557.0,54410.0,0.1408631538034978,10868.0,84.0,0.2468937990250041
49.0,1.0,0.0,1.0,73028.0,50614.0,534.0,6691.0,0.2102010426648414,24830.0,36.0,0.2476961209387947
29.0,1.0,0.0,3.0,37709.0,4672.0,557.0,16781.0,0.4234838085695144,27440.0,60.0,0.304728
32.0,2.0,0.0,1.0,52126.0,21726.0,617.0,15157.0,0.4137908430320609,55801.0,96.0,0.3205356596498124
57.0,1.0,0.0,1.0,59349.0,7599.0,618.0,46855.0,0.1593867833257745,8979.0,60.0,0.1846544795572345
39.0,0.0,0.0,3.0,30830.0,1593.0,594.0,23476.0,0.4621852998970727,22524.0,48.0,0.2016798802816259
36.0,2.0,0.0,1.0,71581.0,2512.0,579.0,48193.0,0.1477716880942625,22266.0,120.0,0.3021255621269392
46.0,1.0,1.0,3.0,22619.0,36829.0,565.0,5413.0,0.541776563259039,16007.0,36.0,0.2603186148856633
39.0,1.0,0.0,1.0,40997.0,45830.0,590.0,9064.0,0.4443575888439808,19336.0,60.0,0.2592849573253527
36.0,0.0,0.0,1.0,91333.0,174659.0,575.0,42942.0,0.0907245823721945,12589.0,96.0,0.2923996653035143
25.0,2.0,0.0,1.0,37409.0,13407.0,536.0,13565.0,0.3809287442394454,24622.0,36.0,0.2747728054412268
49.0,1.0,2.0,4.0,75912.0,8559.0,675.0,28518.0,0.1640687269805436,12641.0,36.0,0.1719260271390441
45.0,2.0,0.0,0.0,51812.0,7487.0,526.0,13719.0,0.2608758807928563,24056.0,84.0,0.3089530986412403
51.0,1.0,0.0,4.0,32134.0,100278.0,578.0,33397.0,0.651185959134422,25786.0,24.0,0.2121597851781227
40.0,1.0,0.0,3.0,24560.0,2109.0,537.0,32711.0,0.3144185019585606,10018.0,60.0,0.2473886964663053
28.0,1.0,0.0,4.0,130901.0,48690.0,581.0,12370.0,0.0914502670349109,29989.0,72.0,0.2035911999999999
47.0,0.0,0.0,3.0,16640.0,7933.0,484.0,198350.0,1.638934658204217,27251.0,24.0,0.2421058414843917
23.0,2.0,0.0,4.0,74489.0,107410.0,526.0,4693.0,0.6810045577485552,36766.0,12.0,0.2482530156736201
35.0,2.0,0.0,1.0,63940.0,6987.0,563.0,22724.0,0.2377983604209368,17067.0,36.0,0.2516474748540822
46.0,3.0,0.0,0.0,20776.0,23381.0,623.0,54782.0,0.9517171637125088,26900.0,60.0,0.2178994670749526
24.0,1.0,1.0,0.0,45988.0,55006.0,552.0,9889.0,0.4101560699901447,30483.0,48.0,0.253011052356847
64.0,1.0,0.0,3.0,68866.0,49221.0,506.0,5804.0,0.2373824092552215,30401.0,36.0,0.2719427348784805
45.0,1.0,0.0,1.0,22812.0,107626.0,530.0,15367.0,1.132271089168116,30761.0,24.0,0.2825643861506904
49.0,1.0,0.0,1.0,27710.0,40722.0,515.0,49489.0,0.4361147073792453,14921.0,36.0,0.2395763531950513
41.0,1.0,0.0,2.0,89220.0,22242.0,646.0,18356.0,0.1505760198917687,36350.0,84.0,0.2191083489443321
52.0,1.0,0.0,3.0,108418.0,3543.0,519.0,11888.0,0.185558866890416,12520.0,12.0,0.2459487872365469
54.0,0.0,0.0,1.0,75629.0,10938.0,581.0,151038.0,0.1696021219376603,20501.0,72.0,0.2810289095257475
36.0,0.0,0.0,1.0,63648.0,5499.0,625.0,47090.0,0.1352970217385083,17021.0,72.0,0.2179622031976911
45.0,0.0,2.0,3.0,36604.0,65250.0,565.0,11870.0,0.2844214559655841,25323.0,84.0,0.2291358971450701
52.0,0.0,0.0,4.0,25587.0,9898.0,630.0,109774.0,0.6759902217700985,25204.0,24.0,0.1825381083260579
32.0,0.0,0.0,0.0,37195.0,3222.0,609.0,150149.0,0.4972866899892602,36607.0,72.0,0.2550138144986231
47.0,1.0,0.0,0.0,119879.0,10883.0,624.0,22417.0,0.1501947681035672,31973.0,48.0,0.2223533594286853
27.0,2.0,0.0,1.0,39644.0,66367.0,546.0,28090.0,0.3928666048370562,27197.0,48.0,0.2703393922052657
41.0,1.0,0.0,3.0,66513.0,90653.0,561.0,7962.0,0.227483510074807,25995.0,48.0,0.2276848931607243
39.0,1.0,0.0,4.0,20837.0,5575.0,629.0,57170.0,0.7003360873083191,11003.0,12.0,0.1576246764448289
30.0,1.0,0.0,3.0,103853.0,78376.0,571.0,10957.0,0.2158599991553824,37137.0,36.0,0.196294517698771
70.0,1.0,0.0,0.0,24084.0,1547.0,560.0,12784.0,1.3156591667392117,34031.0,24.0,0.211090215517482
47.0,1.0,0.0,1.0,48043.0,7021.0,653.0,22734.0,0.1120866492622243,7996.0,72.0,0.2026310946720368
44.0,1.0,0.0,0.0,59072.0,4858.0,493.0,16330.0,0.2702628830101269,30138.0,48.0,0.309245213842186
35.0,0.0,0.0,1.0,32033.0,47295.0,585.0,80487.0,0.963987531719758,24194.0,12.0,0.225888348316503
41.0,0.0,0.0,2.0,76472.0,323696.0,640.0,62800.0,0.2322917943710137,30001.0,48.0,0.1952199643094398
64.0,0.0,0.0,2.0,88632.0,10264.0,697.0,18715.0,0.1544375415133432,28819.0,84.0,0.1986822037920261
42.0,3.0,0.0,0.0,71560.0,9421.0,634.0,16445.0,0.1181038490876744,16266.0,72.0,0.2571192
49.0,1.0,2.0,4.0,168849.0,8478.0,605.0,66230.0,0.2004057689580712,43090.0,36.0,0.2374853166956433
30.0,3.0,0.0,1.0,55873.0,7078.0,541.0,45855.0,0.2981107681761298,21741.0,36.0,0.2496609627219932
36.0,2.0,0.0,3.0,28702.0,5595.0,469.0,62604.0,0.5043569808576007,18851.0,48.0,0.2932220270880819
51.0,0.0,0.0,1.0,60139.0,21719.0,640.0,10208.0,0.2486144259558439,26867.0,60.0,0.2160078576107032
39.0,0.0,0.0,4.0,30767.0,147227.0,584.0,42450.0,0.3202548288266552,18853.0,72.0,0.2571133823637984
33.0,1.0,0.0,2.0,71048.0,8078.0,647.0,50229.0,0.1213792860635481,9031.0,60.0,0.2184795135022928
45.0,2.0,1.0,1.0,97782.0,7776.0,628.0,32736.0,0.1573382701604381,15462.0,24.0,0.1882058479933323
41.0,1.0,0.0,1.0,124433.0,187586.0,586.0,30318.0,0.1108151422089226,14891.0,48.0,0.2285403452002484
42.0,1.0,0.0,1.0,82816.0,62883.0,607.0,11227.0,0.604215114691554,101513.0,48.0,0.3371917192457254
29.0,1.0,0.0,1.0,31672.0,5828.0,412.0,31527.0,0.7209848063568394,27265.0,24.0,0.2910420846784893
28.0,1.0,0.0,1.0,31514.0,41572.0,559.0,3754.0,0.4345733524739552,13338.0,48.0,0.2117293010510494
41.0,1.0,0.0,1.0,20158.0,4698.0,490.0,71913.0,0.3962743638752512,16156.0,60.0,0.2536621192725852
28.0,3.0,0.0,0.0,89728.0,110815.0,493.0,10588.0,0.1500179509996241,21644.0,60.0,0.2760337294786695
46.0,2.0,0.0,0.0,72631.0,376381.0,623.0,13994.0,0.1990463991489234,28944.0,48.0,0.1862716688911989
43.0,1.0,0.0,4.0,53319.0,32705.0,610.0,4960.0,0.1466894857004373,13677.0,72.0,0.2384401276414981
55.0,1.0,0.0,3.0,54769.0,214414.0,555.0,4993.0,0.2178751694322499,26466.0,60.0,0.249734630689678
53.0,1.0,0.0,3.0,45713.0,17050.0,604.0,9545.0,0.3213544284506071,8382.0,60.0,0.2066251958046248
46.0,2.0,0.0,3.0,17058.0,7006.0,618.0,16956.0,0.654413046926794,16012.0,36.0,0.2099938792264464
38.0,1.0,2.0,0.0,30438.0,54707.0,604.0,42410.0,0.3490391651474497,19951.0,72.0,0.2234102349507428
43.0,1.0,0.0,3.0,36511.0,300020.0,548.0,3289.0,0.521884548066396,31464.0,36.0,0.2571171882766551
29.0,1.0,0.0,3.0,15000.0,204036.0,465.0,7933.0,1.683754314948251,50718.0,60.0,0.3434215646886657
37.0,1.0,2.0,1.0,34413.0,54921.0,564.0,17050.0,0.5173666307679787,40294.0,84.0,0.2782065317582725
45.0,0.0,1.0,0.0,47980.0,356810.0,525.0,43699.0,0.2249564560207279,18552.0,60.0,0.2771542266814368
40.0,2.0,0.0,2.0,44449.0,3397.0,565.0,34529.0,0.6931931764643133,65164.0,60.0,0.3060720269871967
31.0,1.0,0.0,3.0,26646.0,19043.0,548.0,37905.0,0.6864132954805039,23942.0,36.0,0.2222787803548906
42.0,2.0,2.0,3.0,98253.0,103115.0,544.0,44981.0,0.1382015419595949,17571.0,60.0,0.2410561678861162
32.0,1.0,0.0,0.0,44590.0,98976.0,547.0,2989.0,0.2046477700204618,17065.0,108.0,0.2802462032471119
41.0,1.0,0.0,0.0,41421.0,107878.0,514.0,24442.0,0.2352952229476393,17649.0,72.0,0.2833703190010344
56.0,1.0,1.0,0.0,78073.0,7049.0,593.0,57816.0,0.1431855735198969,6840.0,24.0,0.1863321853563811
28.0,1.0,2.0,0.0,15582.0,89121.0,562.0,23640.0,0.6784901696408715,19639.0,72.0,0.2500002187615234
53.0,1.0,0.0,1.0,32770.0,77566.0,618.0,15733.0,0.5552799512325484,28784.0,36.0,0.1839872654389613
42.0,0.0,0.0,3.0,78903.0,82358.0,597.0,23969.0,0.3665516379157888,9871.0,12.0,0.1877851598725787
35.0,2.0,0.0,0.0,55377.0,16973.0,621.0,29658.0,0.1603242231439404,15225.0,36.0,0.189698971259535
31.0,1.0,1.0,1.0,59430.0,4712.0,582.0,297450.0,0.1966249179208594,22077.0,72.0,0.2610765422056416
48.0,2.0,0.0,3.0,41259.0,10070.0,574.0,3751.0,0.2420677927326357,14981.0,36.0,0.2533375766025337
46.0,0.0,0.0,4.0,57480.0,41600.0,578.0,15427.0,0.408757321261282,36339.0,48.0,0.2490378167087348
60.0,2.0,1.0,0.0,68986.0,101159.0,620.0,23781.0,0.3004952047056525,24550.0,36.0,0.1644404818801324
64.0,2.0,0.0,3.0,147351.0,48804.0,631.0,47926.0,0.0708894382978464,17094.0,108.0,0.2251335120962727
40.0,2.0,0.0,1.0,21691.0,89527.0,511.0,41389.0,0.9203740374489408,19021.0,72.0,0.2946221837981245
45.0,3.0,0.0,1.0,85764.0,159132.0,628.0,27433.0,0.1370037233305689,30690.0,120.0,0.2591940072743081
20.0,2.0,2.0,1.0,25531.0,323666.0,445.0,4757.0,1.297260108576844,41395.0,24.0,0.2828043556248463
49.0,1.0,0.0,0.0,35298.0,8146.0,584.0,133284.0,0.1201832005611556,4188.0,24.0,0.1672880516203467
19.0,1.0,0.0,3.0,32675.0,30648.0,593.0,28363.0,0.4270192703544768,22071.0,48.0,0.231925036423766
60.0,2.0,0.0,0.0,15000.0,2370.0,530.0,12423.0,1.4643233560699818,39463.0,36.0,0.2439316197436826
44.0,1.0,2.0,0.0,67164.0,13525.0,529.0,7584.0,0.2892645113839163,35977.0,36.0,0.2607708936185547
48.0,2.0,0.0,3.0,59317.0,8532.0,577.0,25754.0,0.207340269510616,26748.0,60.0,0.2524273834711356
38.0,1.0,0.0,3.0,145016.0,24285.0,578.0,9984.0,0.1196363796144387,28029.0,60.0,0.2303818572420501
42.0,3.0,0.0,3.0,48122.0,37273.0,539.0,39433.0,0.2812165519637403,16559.0,36.0,0.2168789908952258
45.0,1.0,1.0,1.0,61197.0,63698.0,617.0,7592.0,0.3237593687927727,13846.0,24.0,0.203527877344817
29.0,1.0,2.0,4.0,39630.0,2396.0,601.0,10607.0,0.2693889022798971,11701.0,48.0,0.21210682739066
53.0,1.0,1.0,3.0,46506.0,30929.0,583.0,18502.0,0.4026319429729603,13325.0,60.0,0.211218672489148
34.0,2.0,0.0,0.0,28233.0,42036.0,574.0,8526.0,0.3326582771849931,20113.0,72.0,0.2360192440820914
55.0,2.0,0.0,0.0,82280.0,34703.0,501.0,27880.0,0.334638498143358,49509.0,60.0,0.2432071999999999
41.0,0.0,0.0,0.0,73312.0,55474.0,561.0,19872.0,0.3800461421074252,41720.0,24.0,0.2187725396396179
45.0,2.0,1.0,3.0,39296.0,3960.0,515.0,246394.0,0.6636825378273076,31172.0,24.0,0.2707583003827462
54.0,1.0,2.0,3.0,70494.0,45977.0,577.0,9338.0,0.1457357468674454,17581.0,48.0,0.1990691392752925
48.0,1.0,0.0,1.0,24562.0,8762.0,632.0,35638.0,0.6650326646683594,28490.0,60.0,0.1740124436892245
27.0,2.0,0.0,3.0,45080.0,50379.0,410.0,26168.0,0.2670508811116401,15453.0,72.0,0.3310184891723979
23.0,1.0,0.0,3.0,22738.0,116911.0,567.0,24539.0,0.5999071465122477,8383.0,12.0,0.1804277823075585
45.0,1.0,0.0,1.0,15000.0,9724.0,569.0,46838.0,2.027483200159062,57848.0,48.0,0.2827843412032076
39.0,0.0,0.0,0.0,24277.0,296478.0,560.0,26010.0,1.006907359714428,50262.0,96.0,0.3331878265074877
41.0,1.0,0.0,1.0,31957.0,49495.0,563.0,6537.0,0.3046328095448724,11348.0,84.0,0.2691329998764874
35.0,0.0,0.0,3.0,92322.0,112675.0,602.0,6114.0,0.2417997943430672,13011.0,12.0,0.1693872570770471
46.0,2.0,0.0,3.0,27408.0,29261.0,640.0,97048.0,0.5147178859127354,23678.0,120.0,0.278317408943137
55.0,0.0,0.0,3.0,26643.0,4069.0,497.0,70984.0,0.3694789997527072,19927.0,72.0,0.2873533569394239
43.0,1.0,0.0,3.0,66463.0,28115.0,598.0,1112.0,0.1866584175704715,20021.0,60.0,0.2066089418490077
23.0,3.0,0.0,3.0,81284.0,8475.0,525.0,23132.0,0.338559996490301,51615.0,48.0,0.3029423048304604
34.0,1.0,0.0,3.0,176993.0,9431.0,580.0,5664.0,0.0894195096298262,22339.0,60.0,0.2016387243830429
37.0,1.0,0.0,0.0,96213.0,8756.0,575.0,16458.0,0.1425705587784551,20717.0,72.0,0.2733436814557924
32.0,1.0,0.0,4.0,28167.0,52555.0,587.0,43268.0,0.5831361314075484,41402.0,72.0,0.2615468360940258
28.0,2.0,0.0,4.0,88735.0,87323.0,608.0,2398.0,0.155315884402813,16575.0,36.0,0.2275467918883
43.0,1.0,2.0,3.0,51679.0,188083.0,598.0,16163.0,0.3359858620804029,25437.0,48.0,0.2109327618528314
30.0,1.0,0.0,4.0,51136.0,84288.0,540.0,70877.0,0.2326466658820691,23317.0,84.0,0.266746771784077
32.0,1.0,2.0,2.0,42930.0,1222.0,602.0,35581.0,0.293287107505164,29093.0,60.0,0.2094934504076563
45.0,1.0,0.0,2.0,94334.0,7868.0,642.0,118731.0,0.1937155344041378,30239.0,84.0,0.2502231778463285
35.0,2.0,0.0,3.0,189561.0,25425.0,579.0,6189.0,0.1314051277300998,25658.0,24.0,0.2533896
18.0,1.0,1.0,3.0,29145.0,17187.0,595.0,35582.0,0.3853691384875117,21836.0,72.0,0.2528058104117606
18.0,2.0,0.0,3.0,46558.0,196195.0,596.0,48545.0,0.2270109373634207,24709.0,84.0,0.2627853961199607
46.0,1.0,0.0,3.0,37153.0,4095.0,571.0,65347.0,0.6099001557774649,58498.0,84.0,0.2552311485356215
60.0,0.0,0.0,4.0,48418.0,55876.0,640.0,13792.0,0.4884740962721489,41633.0,48.0,0.1990999088647148
34.0,0.0,0.0,0.0,46283.0,55833.0,585.0,25266.0,0.3881926761128483,24664.0,48.0,0.2141296096281345
35.0,1.0,0.0,3.0,28025.0,105140.0,619.0,115367.0,0.5850551175991304,44194.0,108.0,0.2320920064697209
51.0,1.0,1.0,0.0,168559.0,8573.0,570.0,142466.0,0.0711194178509468,11484.0,84.0,0.2408367148685349
18.0,1.0,0.0,0.0,30841.0,7950.0,589.0,39267.0,0.4284229989684462,12670.0,60.0,0.2489244942103946
36.0,1.0,1.0,4.0,27013.0,97461.0,639.0,16598.0,0.2034311798029858,12602.0,72.0,0.1960024850279768
34.0,2.0,0.0,4.0,28500.0,35859.0,591.0,5950.0,1.6314090447533696,38093.0,12.0,0.2136156199520292
37.0,1.0,0.0,1.0,66391.0,40325.0,545.0,45252.0,0.1796096270555298,16991.0,36.0,0.2231944116417309
44.0,1.0,2.0,3.0,33861.0,52780.0,604.0,17163.0,0.2273863321110164,13879.0,72.0,0.2497255510184064
50.0,1.0,0.0,2.0,213434.0,43019.0,621.0,39765.0,0.0628975368612525,21870.0,84.0,0.2165723519520394
39.0,1.0,0.0,1.0,56784.0,23281.0,570.0,7042.0,0.2233190762324312,11107.0,48.0,0.2180211590752929
28.0,1.0,2.0,2.0,105382.0,366525.0,495.0,11287.0,0.1144432490710447,13599.0,24.0,0.2620128832845754
38.0,2.0,0.0,0.0,15000.0,108791.0,566.0,4477.0,0.5667255271192314,19893.0,60.0,0.2383754825663741
34.0,1.0,2.0,1.0,22963.0,50201.0,603.0,2957.0,0.4442914550650839,10190.0,96.0,0.2363858108551145
